,No,Site ID,Fuel Acc,Updated Site Name,Company Name,Region,TA,Segment,Sub Segment,Station Add,Postcode,District,State,Site ID 2,Latitude,Longitude,region,id,Sales_70020771,Sales_70100346,Total Sales,Assigned Township
49,52.0,RYB1108,90040723.0,SEK 15 SHAH ALAM,FIZZILI SERVICES,CENTRAL 1,C03,Urban,Transient,"Lot PT 812 HS(D) 240429, Seksyen 15, Persiaran Selangor, Shah Alam, Selangor",40200.0,Petaling,Selangor,RYB1108,3.063503,101.524606,Central,90040723,12043.0,4326.0,16369.0,Shah Alam
50,53.0,RYB1131,90040906.0,BT 3 FEDERAL H/WAY,SINAR HAYAT SERVICES,CENTRAL 1,C03,Highway,Intrastate,"Lot PT 5, HS (D) 239246, Pekan Country Heights, Mukim Damansara, Selangor",46150.0,Petaling,Selangor,RYB1131,3.080648,101.572574,Central,90040906,14636.5,2777.5,17414.0,Subang Jaya
51,54.0,RYB0838,90042643.0,FEDERAL HIGHWAY (KM 12.3) - ARAH KLANG,DZIYA ZADA SERVICES,CENTRAL 1,C03,Highway,Intrastate,"KM 12.3 Lebuhraya Persekutuan Arah Klang, Seksyen 15, Shah Alam, Selangor",40000.0,Petaling,Selangor,RYB0838,3.066769,101.532633,Central,90042643,21779.0,8182.5,29961.5,Shah Alam
52,55.0,RYB1002,90046373.0,TEMASYA FEDERAL HIGHWAY,MYRAIS TEMASYA ENTERPRISE,CENTRAL 1,C03,Urban,Residential,"KM 18.5 Federal Highway Subang Jaya Exit (KL Bound), Seksyen U1, Shah Alam",40150.0,Petaling,Selangor,RYB1002,3.084188,101.583496,Central,90046373,13750.5,2452.0,16202.5,Subang Jaya
53,56.0,RYB0036,90046916.0,SUBANG,MIDCITY GAS STATION,CENTRAL 1,C03,Urban,Transient,"Lot 1210 Jalan Lapangan Terbang, Subang",47200.0,Petaling,Selangor,RYB0036,3.116947,101.565606,Central,90046916,19139.0,6246.5,25385.5,Damansara
54,58.0,RYB0163,90009818.0,SEK. 20 SHAH ALAM,SERVIS STESEN LALUAN SUTERA,CENTRAL 1,C04,Urban,Residential,"Lot 2, Jalan 20/1, Seksyen 20, Shah Alam",40300.0,Petaling,Selangor,RYB0163,3.056773,101.541948,Central,90009818,11088.5,1198.0,12286.5,Shah Alam
55,59.0,RYB0251,90009823.0,USJ 2,ALI LOK ENTERPRISE,CENTRAL 1,C04,Urban,Residential,"Lot PT 2781, Jalan USJ 2/2D, Subang UEP, Subang Jaya",47600.0,Petaling,Selangor,RYB0251,3.057523,101.591391,Central,90009823,9781.0,1468.5,11249.5,Subang Jaya
56,60.0,RYB0429,90018633.0,USJ 6,STESEN SERVIS FAZA,CENTRAL 1,C04,Urban,Residential,"Lot 7003 Jalan USJ 6/2J Subang UEP, Subang Jaya",47600.0,Petaling,Selangor,RYB0429,3.051542,101.583727,Central,90018633,7039.0,436.5,7475.5,Subang Jaya
57,61.0,RYB0580,90031173.0,AXIS SHAH ALAM,NST MESRA KIOSK,CENTRAL 1,C04,Urban,Residential,"No. 2, Jalan Sepadu 25/123, Taman Perindustrian Axis, Seksyen 25, Shah Alam",40460.0,Petaling,Selangor,RYB0580,3.027283,101.542223,Central,90031173,9485.0,12451.0,21936.0,Bukit Kemuning
58,62.0,RYB0715,90033896.0,KESAS ARAH TIMUR KM 34.5,FAJAR FIRASAT ENTERPRISE,CENTRAL 1,C04,Highway,Intrastate,"Km 34.5 Lebuhraya Shah Alam (KESAS) (KL Bound), Selangor",40000.0,Petaling,Selangor,RYB0715,3.048543,101.56148,Central,90033896,22844.5,18964.0,41808.5,Subang Jaya
59,63.0,RYB0714,90034021.0,KESAS ARAH BARAT KM 34.5,MOFA TULEN ENTERPRISE,CENTRAL 1,C04,Highway,Intrastate,"Km 34.5 KESAS Highway (Shah Alam Bound), Selangor",40000.0,Petaling,Selangor,RYB0714,3.049783,101.563237,Central,90034021,17435.0,11355.0,28790.0,Subang Jaya
